[100.954] ----BEGIN_NNQ_XQ----
[100.957] 825,0.00809
[100.959] 856,0.00799
[100.961] 887,0.00796
[100.963] 918,0.00786
[100.965] 949,0.00765
[100.969] 980,0.00733
[100.970] 1011,0.00696
[100.972] 1042,0.00642
[100.974] 1073,0.00576
[100.976] 1104,0.00500
[100.980] 1135,0.00415
[100.981] 1166,0.00329
[100.983] 1197,0.00259
[100.985] 1228,0.00218
[100.987] 1259,0.00218
[100.991] 1290,0.00260
[100.992] 1321,0.00340
[100.994] 1352,0.00442
[100.996] 1383,0.00557
[100.998] 1414,0.00671
[101.002] 1445,0.00777
[101.003] 1476,0.00877
[101.005] 1507,0.00976
[101.007] 1538,0.01064
[101.009] 1569,0.01143
[101.013] 1600,0.01206
[101.014] 1631,0.01251
[101.016] 1662,0.01274
[101.018] 1693,0.01278
[101.020] 1724,0.01248
[101.024] 1755,0.01226
[101.025] 1786,0.01199
[101.027] 1817,0.01156
[101.029] 1848,0.01107
[101.031] 1879,0.01064
[101.035] 1910,0.00993
[101.036] 1941,0.00903
[101.038] 1972,0.00809
[101.040] 2003,0.00758
[101.042] 2034,0.00702
[101.046] ----END_NNQ_XQ----
[101.058] ----BEGIN_NNQ_XI----
[101.060] 825,0.01038
[101.062] 856,0.01047
[101.064] 887,0.01053
[101.066] 918,0.01059
[101.068] 949,0.01073
[101.072] 980,0.01072
[101.073] 1011,0.01059
[101.075] 1042,0.01030
[101.077] 1073,0.00984
[101.079] 1104,0.00917
[101.083] 1135,0.00831
[101.084] 1166,0.00731
[101.086] 1197,0.00618
[101.088] 1228,0.00497
[101.090] 1259,0.00375
[101.094] 1290,0.00274
[101.095] 1321,0.00222
[101.097] 1352,0.00225
[101.099] 1383,0.00279
[101.101] 1414,0.00382
[101.105] 1445,0.00512
[101.106] 1476,0.00630
[101.108] 1507,0.00745
[101.110] 1538,0.00848
[101.112] 1569,0.00933
[101.116] 1600,0.01010
[101.117] 1631,0.01079
[101.119] 1662,0.01128
[101.121] 1693,0.01159
[101.123] 1724,0.01176
[101.127] 1755,0.01177
[101.128] 1786,0.01159
[101.130] 1817,0.01123
[101.132] 1848,0.01071
[101.134] 1879,0.01003
[101.138] 1910,0.00911
[101.139] 1941,0.00803
[101.141] 1972,0.00681
[101.143] 2003,0.00620
[101.145] 2034,0.00554
[101.149] ----END_NNQ_XI----
[101.161] ----BEGIN_NNQ_XP----
[101.163] 825,-0.00079
[101.165] 856,-0.00044
[101.167] 887,-0.00006
[101.169] 918,0.00066
[101.171] 949,0.00147
[101.175] 980,0.00205
[101.176] 1011,0.00288
[101.178] 1042,0.00366
[101.180] 1073,0.00436
[101.182] 1104,0.00496
[101.186] 1135,0.00568
[101.187] 1166,0.00599
[101.189] 1197,0.00612
[101.191] 1228,0.00608
[101.193] 1259,0.00584
[101.197] 1290,0.00543
[101.198] 1321,0.00484
[101.200] 1352,0.00410
[101.202] 1383,0.00322
[101.204] 1414,0.00224
[101.208] 1445,0.00119
[101.209] 1476,0.00010
[101.211] 1507,-0.00111
[101.213] 1538,-0.00216
[101.215] 1569,-0.00315
[101.219] 1600,-0.00403
[101.220] 1631,-0.00485
[101.222] 1662,-0.00534
[101.224] 1693,-0.00577
[101.226] 1724,-0.00602
[101.231] 1755,-0.00612
[101.232] 1786,-0.00602
[101.234] 1817,-0.00587
[101.236] 1848,-0.00564
[101.238] 1879,-0.00535
[101.243] 1910,-0.00428
[101.244] 1941,-0.00317
[101.246] 1972,-0.00198
[101.248] 2003,-0.00122
[101.250] 2034,-0.00009
[101.255] ----END_NNQ_XP----
[101.267] ----BEGIN_NNQ_YQ----
[101.269] 825,0.00228
[101.271] 856,0.00233
[101.273] 887,0.00238
[101.275] 918,0.00248
[101.277] 949,0.00247
[101.281] 980,0.00247
[101.282] 1011,0.00246
[101.284] 1042,0.00239
[101.286] 1073,0.00230
[101.288] 1104,0.00193
[101.292] 1135,0.00153
[101.293] 1166,0.00115
[101.295] 1197,0.00078
[101.297] 1228,0.00044
[101.299] 1259,0.00038
[101.303] 1290,0.00030
[101.304] 1321,0.00026
[101.306] 1352,0.00028
[101.308] 1383,0.00033
[101.310] 1414,0.00044
[101.314] 1445,0.00062
[101.315] 1476,0.00098
[101.317] 1507,0.00149
[101.319] 1538,0.00202
[101.321] 1569,0.00255
[101.325] 1600,0.00302
[101.326] 1631,0.00332
[101.328] 1662,0.00346
[101.330] 1693,0.00356
[101.332] 1724,0.00362
[101.336] 1755,0.00365
[101.337] 1786,0.00364
[101.339] 1817,0.00359
[101.341] 1848,0.00351
[101.343] 1879,0.00338
[101.347] 1910,0.00311
[101.348] 1941,0.00265
[101.350] 1972,0.00211
[101.352] 2003,0.00183
[101.354] 2034,0.00142
[101.358] ----END_NNQ_YQ----
[101.370] ----BEGIN_NNQ_YI----
[101.372] 825,0.00039
[101.374] 856,0.00031
[101.376] 887,0.00030
[101.378] 918,0.00026
[101.380] 949,0.00061
[101.384] 980,0.00105
[101.385] 1011,0.00171
[101.387] 1042,0.00246
[101.389] 1073,0.00335
[101.391] 1104,0.00401
[101.395] 1135,0.00466
[101.396] 1166,0.00517
[101.398] 1197,0.00558
[101.400] 1228,0.00582
[101.402] 1259,0.00595
[101.406] 1290,0.00599
[101.407] 1321,0.00592
[101.409] 1352,0.00578
[101.411] 1383,0.00554
[101.413] 1414,0.00526
[101.417] 1445,0.00499
[101.418] 1476,0.00469
[101.420] 1507,0.00433
[101.422] 1538,0.00393
[101.424] 1569,0.00339
[101.428] 1600,0.00256
[101.429] 1631,0.00182
[101.431] 1662,0.00113
[101.433] 1693,0.00058
[101.435] 1724,0.00029
[101.439] 1755,0.00035
[101.440] 1786,0.00048
[101.442] 1817,0.00077
[101.444] 1848,0.00120
[101.446] 1879,0.00178
[101.450] 1910,0.00237
[101.451] 1941,0.00296
[101.453] 1972,0.00343
[101.455] 2003,0.00371
[101.457] 2034,0.00383
[101.461] ----END_NNQ_YI----
